,distance_wheelchair,speed_wheelchair,acceleration_wheelchair,distance_tracker,speed_tracker,acceleration_tracker,danger_tracker,distance_drone,speed_drone,acceleration_drone,distance_range,speed_range,acceleration_range,wheelchair_data,drone_data,tracker_data,range_data
5.02,,0.0,0.0,1.9997,0.47805575614761187,0.03653154829663726,0.9956442953042864,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,False,False
5.03,,0.0,0.0,1.9997,0.47805575614761187,0.03653154829663726,0.9956442953042864,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,False,False
5.04,,0.0,0.0,1.9835,0.4894482214539288,0.3441988816143466,1.0288745494656961,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,True,False
5.05,,0.0,0.0,1.9835,0.4894482214539288,0.3441988816143466,1.0288745494656961,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,False,False
5.06,,0.0,0.0,1.9835,0.4894482214539288,0.3441988816143466,1.0288745494656961,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,False,False
5.07,,0.0,0.0,1.9675,0.48159164111020203,-0.23647896382809547,1.017137466394377,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,True,False
5.08,,0.0,0.0,1.9675,0.48159164111020203,-0.23647896382809547,1.017137466394377,,0.0,0.0,2.0832,0.5585217007006122,0.8974680069418864,False,False,False,False
5.09,,0.0,0.0,1.9675,0.48159164111020203,-0.23647896382809547,1.017137466394377,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,True
5.1,,0.0,0.0,1.9512,0.48911018674287776,0.22560719376888835,1.0418937485506794,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
5.11,,0.0,0.0,1.9512,0.48911018674287776,0.22560719376888835,1.0418937485506794,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
5.12,,0.0,0.0,1.9512,0.48911018674287776,0.22560719376888835,1.0418937485506794,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
5.13,,0.0,0.0,1.9512,0.48911018674287776,0.22560719376888835,1.0418937485506794,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
5.14,,0.0,0.0,1.9355,0.46808216302853767,-0.6269326639760296,0.9985814814415872,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,True,False
5.15,,0.0,0.0,1.9355,0.46808216302853767,-0.6269326639760296,0.9985814814415872,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
5.16,,0.0,0.0,1.9355,0.46808216302853767,-0.6269326639760296,0.9985814814415872,,0.0,0.0,2.0312,0.5214162499614979,-0.37206509572153956,False,False,False,False
